"","x2","risk","Rank_Reg_R2","Rank_Reg_beta_slope","Rank_Reg_Lambda_intercept","R2","BETA","ETA","Asset"
"37",4,"CT Failure",0.995285483425011,0.962182188119561,0.0318533693566901,0.921538488462189,3.32938554086314,44.9377850337653,"Substation Transformer"
"38",5,"Insulation Degradation (Xfmr)",0.991061462087707,1.11580056360557,0.0122108314491265,0.942817757154708,3.03603732789438,48.2243377415917,"Substation Transformer"
"39",1,"Auxiliary System Failure (Turbine)",0.998188372961147,1.1057075674428,0.00858920052036922,0.801855755440754,3.62072879441151,63.6639544924997,"Turbine, Runner"
"40",2,"Bearing Failure",0.995407771184488,1.03372861924256,0.0195472435557538,0.949312136179992,5.07536486483214,45.6296564880513,"Turbine, Runner"
"41",3,"Blown Head Cover (Turbine)",0.986163005186009,0.910040738668304,0.0338791320771744,0.957561533047282,3.30562605798881,54.9681409410726,"Turbine, Runner"
"42",4,"Broken Shear Pin",0.988953680304295,1.07541488027436,0.0092113137107518,0.901971644959415,3.2347373905328,76.2264139384193,"Turbine, Runner"
"43",5,"Cavitation",0.992217529907116,0.930707900199808,0.0253708482938547,0.847927636986838,2.71905643059948,63.5340351512,"Turbine, Runner"
"44",6,"Corrosion",0.994201211905648,1.04495304434126,0.0187075442611119,0.887559551970567,5.26657473509929,45.0547059322386,"Turbine, Runner"
"45",7,"Human Error",0.997940330134478,0.970804850092938,0.0169327095546196,0.801148350347331,7.94889112064019,76.0269135664387,"Turbine, Runner"
"46",8,"Insturmentation Failure",0.987939577559973,1.10065841130364,0.010471133136268,0.868706612798814,4.27905566372188,60.0213672364569,"Turbine, Runner"
"47",9,"Loss of Flow",0.991041012943289,1.15487538842532,0.0126733583785553,0.916989411116883,2.74139500713943,37.891645420419,"Turbine, Runner"
"48",10,"Loss of Governor",0.992001575214149,0.956989622914464,0.0267546141556109,0.963834756664949,4.35577224692488,54.4478719355346,"Turbine, Runner"
"49",11,"Mechanical Problem",0.983095867226139,1.01921278244639,0.0131892377546089,0.905453225000307,3.61329651761094,78.0247478202763,"Turbine, Runner"
"50",12,"Oil Leaks",0.989783664449428,1.05296937588437,0.0122835982427273,0.943897035155041,2.98603856266692,61.5339207212421,"Turbine, Runner"
"51",13,"Plugged",0.994771502819902,1.07999885064498,0.0270496109720214,0.905839777179275,2.78313819124127,27.79421195424,"Turbine, Runner"
"52",14,"Turbine Blade Issue",0.99651362984566,1.08478160983374,0.0140330099160627,0.855875091126372,5.3348619036797,46.7767384449757,"Turbine, Runner"
"53",15,"Wear",0.998501632758325,1.06272301916522,0.0122967278255368,0.85499432639273,6.7079005508354,59.7130174675002,"Turbine, Runner"
"54",16,"Wiped Bearing",0.985307354696915,1.02036476246552,0.0285502005789984,0.924664527386228,3.12331200207878,36.1988168475106,"Turbine, Runner"
